shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
0,1,157.38632437455,157.38632437455,157.38632437455,0.0,157.38632437455,53.0199,53.0199,53.0199,0.0,53.0199,0.0002168,0.0,16.45864176,0.0
1,1,193.57890660930025,193.57890660930025,193.57890660930025,0.0,193.57890660930025,53.0219,53.0219,53.0219,0.0,53.0219,0.0007878,0.0,16.32271706,0.0
2,1,203.61066287262474,203.61066287262474,203.61066287262474,0.0,203.61066287262474,53.0203,53.0203,53.0203,0.0,53.0203,0.0002424,0.0,16.28537271,0.0
3,1,210.23597779442025,210.23597779442025,210.23597779442025,0.0,210.23597779442025,53.027,53.027,53.027,0.0,53.027,0.0005763,0.0,16.26078723,0.0
4,1,210.92900803597877,210.92900803597877,210.92900803597877,0.0,210.92900803597877,42.9575,42.9575,42.9575,0.0,42.9575,0.0023127,0.0,16.25821908,0.0
5,1,211.43856362765018,211.43856362765018,211.43856362765018,0.0,211.43856362765018,53.0227,53.0227,53.0227,0.0,53.0227,0.0007497,0.0,16.25633126,0.0
6,1,215.92687793192727,215.92687793192727,215.92687793192727,0.0,215.92687793192727,53.0019,53.0019,53.0019,0.0,53.0019,0.0006171,0.0,16.23971856,0.0
7,1,222.17578262268853,222.17578262268853,222.17578262268853,0.0,222.17578262268853,42.9923,42.9923,42.9923,0.0,42.9923,0.0005959,0.0,16.21663642,0.0
8,1,222.9114437739181,222.9114437739181,222.9114437739181,0.0,222.9114437739181,42.9912,42.9912,42.9912,0.0,42.9912,0.0005825,0.0,16.21392264,0.0
9,1,227.47692764816384,227.47692764816384,227.47692764816384,0.0,227.47692764816384,53.0272,53.0272,53.0272,0.0,53.0272,0.0006357,0.0,16.19709794,0.0
10,1,229.34484110609446,229.34484110609446,229.34484110609446,0.0,229.34484110609446,53.0321,53.0321,53.0321,0.0,53.0321,0.0006053,0.0,16.1902227,0.0
11,1,244.83955237024657,244.83955237024657,244.83955237024657,0.0,244.83955237024657,53.0314,53.0314,53.0314,0.0,53.0314,0.0010926,0.0,16.13337824,0.0
12,1,249.05719163504546,249.05719163504546,249.05719163504546,0.0,249.05719163504546,53.0378,53.0378,53.0378,0.0,53.0378,0.0005459,0.0,16.11796283,0.0
13,1,250.85121257945775,250.85121257945775,250.85121257945775,0.0,250.85121257945775,42.9706,42.9706,42.9706,0.0,42.9706,0.0017662,0.0,16.11141315,0.0
14,1,252.00593540160753,252.00593540160753,252.00593540160753,0.0,252.00593540160753,53.2008,53.2008,53.2008,0.0,53.2008,0.0010961,0.0,16.10719979,0.0
15,1,266.23483878527713,266.23483878527713,266.23483878527713,0.0,266.23483878527713,97.2759,97.2759,97.2759,0.0,97.2759,9.01e-05,0.0,16.05543164,0.0
16,1,266.6433209834322,266.6433209834322,266.6433209834322,0.0,266.6433209834322,97.2769,97.2769,97.2769,0.0,97.2769,8.85e-05,0.0,16.05394958,0.0
17,1,267.0973070027194,267.0973070027194,267.0973070027194,0.0,267.0973070027194,97.2769,97.2769,97.2769,0.0,97.2769,8.88e-05,0.0,16.05230269,0.0
